Unnamed: 0_x,hotel_id,hotel_name_x,url,Comodidades,Limpeza,Conforto,Custo-benefício,Localização,Total,WiFi gratuito,number_of_ratings,Unnamed: 0_y,room_id,hotel_name_y,city_name,accommodation_type,room_name,room_surface_in_m2,room_facilities
75,10812173,"Asa Norte, Brasília - NOR",https://www.booking.com/hotel/br/asa-norte-brasilia-nor.html,10.0,10.0,10.0,10.0,10.0,10.0,,1,119,1081217302,"Asa Norte, Brasília - NOR",Brasília,apartment,Apartamento,,"['Torradeira', 'Internet', 'Produtos de limpeza', 'Cozinha', 'Ar-condicionado', 'Máquina de lavar roupas', 'Secador de cabelo', 'Utensílios de cozinha', 'Arara para roupas', 'Varal para secar roupas', 'Fogão', 'Roupa de cama', 'Garrafa de água', 'Máquina de café', 'Cesto de lixo', 'Toalhas', 'Papel higiênico', 'TV', 'Micro-ondas', 'Sofá-cama', 'Produtos de higiene pessoal gratuitos', 'Geladeira', 'Shampoo', 'Ferro de passar roupa', 'Banheiro privativo', 'Guarda-roupa ou armário']"
75,10812173,"Asa Norte, Brasília - NOR",https://www.booking.com/hotel/br/asa-norte-brasilia-nor.html,10.0,10.0,10.0,10.0,10.0,10.0,,1,120,1081217303,"Asa Norte, Brasília - NOR",Brasília,apartment,Apartamento,,"['Banheiro privativo', 'Shampoo', 'TV', 'Varal para secar roupas', 'Cesto de lixo', 'Máquina de café', 'Internet', 'Máquina de lavar roupas', 'Micro-ondas', 'Torradeira', 'Garrafa de água', 'Ferro de passar roupa', 'Cozinha', 'Produtos de limpeza', 'Área para refeições', 'Secador de cabelo', 'Utensílios de cozinha', 'Arara para roupas', 'Sofá-cama', 'Guarda-roupa ou armário', 'Ar-condicionado', 'Papel higiênico', 'Produtos de higiene pessoal gratuitos', 'Geladeira', 'Fogão', 'Roupa de cama', 'Toalhas']"
75,10812173,"Asa Norte, Brasília - NOR",https://www.booking.com/hotel/br/asa-norte-brasilia-nor.html,10.0,10.0,10.0,10.0,10.0,10.0,,1,121,1081217304,"Asa Norte, Brasília - NOR",Brasília,apartment,Apartamento,,"['Arara para roupas', 'Ar-condicionado', 'Máquina de lavar roupas', 'Cesto de lixo', 'Máquina de café', 'TV', 'Toalhas', 'Shampoo', 'Área para refeições', 'Cozinha', 'Ferro de passar roupa', 'Secador de cabelo', 'Garrafa de água', 'Sofá-cama', 'Papel higiênico', 'Guarda-roupa ou armário', 'Varal para secar roupas', 'Torradeira', 'Roupa de cama', 'Micro-ondas', 'Geladeira', 'Produtos de higiene pessoal gratuitos', 'Fogão', 'Produtos de limpeza', 'Internet', 'Banheiro privativo', 'Utensílios de cozinha']"
75,10812173,"Asa Norte, Brasília - NOR",https://www.booking.com/hotel/br/asa-norte-brasilia-nor.html,10.0,10.0,10.0,10.0,10.0,10.0,,1,122,1081217305,"Asa Norte, Brasília - NOR",Brasília,apartment,Apartamento,,"['Cozinha', 'Ferro de passar roupa', 'Shampoo', 'Secador de cabelo', 'Produtos de limpeza', 'Roupa de cama', 'TV', 'Ar-condicionado', 'Varal para secar roupas', 'Papel higiênico', 'Torradeira', 'Fogão', 'Área para refeições', 'Guarda-roupa ou armário', 'Micro-ondas', 'Garrafa de água', 'Internet', 'Banheiro privativo', 'Máquina de café', 'Produtos de higiene pessoal gratuitos', 'Geladeira', 'Toalhas', 'Sofá-cama', 'Cesto de lixo', 'Arara para roupas']"
75,10812173,"Asa Norte, Brasília - NOR",https://www.booking.com/hotel/br/asa-norte-brasilia-nor.html,10.0,10.0,10.0,10.0,10.0,10.0,,1,123,1081217306,"Asa Norte, Brasília - NOR",Brasília,apartment,Apartamento,,"['Cozinha', 'Fogão', 'Varal para secar roupas', 'Geladeira', 'Internet', 'Torradeira', 'Produtos de higiene pessoal gratuitos', 'Micro-ondas', 'Ferro de passar roupa', 'Produtos de limpeza', 'Roupa de cama', 'Banheiro privativo', 'Sofá-cama', 'Secador de cabelo', 'Shampoo', 'Ar-condicionado', 'Papel higiênico', 'Toalhas', 'Arara para roupas', 'Utensílios de cozinha', 'TV', 'Garrafa de água', 'Cesto de lixo', 'Máquina de café', 'Guarda-roupa ou armário']"
75,10812173,"Asa Norte, Brasília - NOR",https://www.booking.com/hotel/br/asa-norte-brasilia-nor.html,10.0,10.0,10.0,10.0,10.0,10.0,,1,124,1081217307,"Asa Norte, Brasília - NOR",Brasília,apartment,Apartamento,,"['Guarda-roupa ou armário', 'Arara para roupas', 'Papel higiênico', 'Varal para secar roupas', 'Produtos de higiene pessoal gratuitos', 'Máquina de café', 'Secador de cabelo', 'Toalhas', 'Ar-condicionado', 'Internet', 'Fogão', 'Cozinha', 'Geladeira', 'Micro-ondas', 'Garrafa de água', 'Banheiro privativo', 'Ferro de passar roupa', 'Sofá-cama', 'Produtos de limpeza', 'TV', 'Roupa de cama', 'Shampoo', 'Utensílios de cozinha', 'Cesto de lixo', 'Torradeira', 'Máquina de lavar roupas']"
92,10792136,Metropolitan Sidney - MSS,https://www.booking.com/hotel/br/metropolitan-sidney-mss.html,10.0,10.0,10.0,7.5,10.0,10.0,10.0,1,145,1079213602,Metropolitan Sidney - MSS,Goiânia,apartment,Apartamento,70.0,"['Shampoo', 'Geladeira', 'Produtos de limpeza', 'Cozinha', 'Garrafa de água', 'Acessível por elevador', 'Secador de cabelo', 'Cesto de lixo', 'Ar-condicionado', 'Ferro de passar roupa', 'Papel higiênico', 'Forno', 'TV', 'Fogão', 'Sofá', 'Máquina de lavar roupas', 'Toalhas', 'Chuveiro', 'Varal para secar roupas', 'Guarda-roupa ou armário', 'Arara para roupas', 'Internet', 'Roupa de cama', 'Micro-ondas', 'Vaso sanitário', 'Produtos de higiene pessoal gratuitos', 'Banheiro privativo', 'Utensílios de cozinha', 'Área de estar', 'Independente', 'Máquina de café']"
92,10792136,Metropolitan Sidney - MSS,https://www.booking.com/hotel/br/metropolitan-sidney-mss.html,10.0,10.0,10.0,7.5,10.0,10.0,10.0,1,146,1079213603,Metropolitan Sidney - MSS,Goiânia,apartment,Apartamento,39.0,"['Papel higiênico', 'Secador de cabelo', 'Cesto de lixo', 'Arara para roupas', 'Banheiro privativo', 'Produtos de limpeza', 'Ar-condicionado', 'Shampoo', 'Internet', 'Guarda-roupa ou armário', 'Máquina de café', 'Roupa de cama', 'Garrafa de água', 'Sofá', 'Torradeira', 'TV', 'Produtos de higiene pessoal gratuitos', 'Varal para secar roupas', 'Cozinha', 'Toalhas', 'Área de estar', 'Micro-ondas', 'Ferro de passar roupa', 'Geladeira', 'Fogão', 'Utensílios de cozinha']"
92,10792136,Metropolitan Sidney - MSS,https://www.booking.com/hotel/br/metropolitan-sidney-mss.html,10.0,10.0,10.0,7.5,10.0,10.0,10.0,1,147,1079213604,Metropolitan Sidney - MSS,Goiânia,apartment,Apartamento,,"['Produtos de limpeza', 'Micro-ondas', 'Secador de cabelo', 'Utensílios de cozinha', 'Guarda-roupa ou armário', 'Toalhas', 'Torradeira', 'Cozinha', 'Forno', 'Produtos de higiene pessoal gratuitos', 'Área de estar', 'Arara para roupas', 'Fogão', 'Internet', 'Shampoo', 'Varanda', 'Garrafa de água', 'TV', 'Ar-condicionado', 'Banheiro privativo', 'Papel higiênico', 'Geladeira', 'Sofá', 'Ferro de passar roupa', 'Cesto de lixo']"
92,10792136,Metropolitan Sidney - MSS,https://www.booking.com/hotel/br/metropolitan-sidney-mss.html,10.0,10.0,10.0,7.5,10.0,10.0,10.0,1,148,1079213605,Metropolitan Sidney - MSS,Goiânia,apartment,Apartamento,39.0,"['Roupa de cama', 'Banheiro privativo', 'TV', 'Secador de cabelo', 'Shampoo', 'Sofá', 'Guarda-roupa ou armário', 'Internet', 'Produtos de higiene pessoal gratuitos', 'Varal para secar roupas', 'Toalhas', 'Ferro de passar roupa', 'Cesto de lixo', 'Cozinha', 'Garrafa de água', 'Papel higiênico', 'Ar-condicionado', 'Utensílios de cozinha', 'Fogão', 'Máquina de café', 'Torradeira', 'Micro-ondas', 'Arara para roupas', 'Produtos de limpeza', 'Geladeira', 'Área de estar']"
